id,lat,lon,Date,Value
"Abbeville, South Carolina",34.22333378,-82.46170658,2020-04-01,4.0
"Acadia, Louisiana",30.2950649,-92.41419698,2020-04-01,47.0
"Accomack, Virginia",37.76707161,-75.63234615,2020-04-01,7.0
"Ada, Idaho",43.4526575,-116.24155159999998,2020-04-01,195.0
"Adair, Iowa",41.33075609,-94.47105874,2020-04-01,1.0
"Adair, Missouri",40.19058551,-92.60078167,2020-04-01,3.0
"Adair, Oklahoma",35.88494195,-94.65859267,2020-04-01,8.0
"Adams, Colorado",39.87432092,-104.3362578,2020-04-01,181.0
"Adams, Illinois",39.98815591,-91.18786813,2020-04-01,2.0
"Adams, Indiana",40.7457653,-84.93671406,2020-04-01,1.0
"Adams, Mississippi",31.47669768,-91.35326037,2020-04-01,11.0
"Adams, Nebraska",40.52449420000001,-98.50117804,2020-04-01,4.0
"Adams, Pennsylvania",39.87140411,-77.21610347,2020-04-01,12.0
"Adams, Washington",46.98299757,-118.5601734,2020-04-01,14.0
"Addison, Vermont",44.03217337,-73.14130877,2020-04-01,24.0
"Aiken, South Carolina",33.54338026,-81.63645384,2020-04-01,18.0
"Alachua, Florida",29.67866525,-82.35928158,2020-04-01,90.0
"Alamance, North Carolina",36.0434701,-79.39976137,2020-04-01,7.0
"Alameda, California",37.64629437,-121.8929271,2020-04-01,313.0
"Alamosa, Colorado",37.57250606,-105.7885451,2020-04-01,1.0
"Albany, New York",42.60060306,-73.97723916,2020-04-01,240.0
"Albany, Wyoming",41.65498705,-105.7235415,2020-04-01,3.0
"Albemarle, Virginia",38.02080697,-78.55481085,2020-04-01,21.0
"Alcorn, Mississippi",34.88084463,-88.57996173,2020-04-01,3.0
"Alexander, North Carolina",35.922379600000006,-81.17751948,2020-04-01,2.0
"Alexandria, Virginia",38.814003,-77.08183073,2020-04-01,32.0
"Allamakee, Iowa",43.28383218,-91.37860922,2020-04-01,7.0
"Allegan, Michigan",42.59147037,-85.89102866,2020-04-01,5.0
"Allegany, New York",42.25748406,-78.02750466,2020-04-01,10.0
"Alleghany, North Carolina",36.49360862,-81.12857041,2020-04-01,2.0
"Alleghany, Virginia",37.78636074,-80.00222498,2020-04-01,1.0
"Allegheny, Pennsylvania",40.46809875,-79.98167747,2020-04-01,356.0
"Allen, Indiana",41.09194313,-85.06800636,2020-04-01,39.0
"Allen, Kentucky",36.75197631,-86.19457544,2020-04-01,2.0
"Allen, Louisiana",30.65385745,-92.82442028,2020-04-01,19.0
"Allen, Ohio",40.77285242,-84.10802343,2020-04-01,6.0
"Allendale, South Carolina",32.98837386,-81.35321066,2020-04-01,1.0
