id,lat,lon,Date,Value
"Abbeville, South Carolina, US",34.22333378,-82.46170658,2020-04-01,4.0
"Acadia, Louisiana, US",30.2950649,-92.41419698,2020-04-01,47.0
"Accomack, Virginia, US",37.76707161,-75.63234615,2020-04-01,7.0
"Ada, Idaho, US",43.4526575,-116.24155159999998,2020-04-01,195.0
"Adair, Iowa, US",41.33075609,-94.47105874,2020-04-01,1.0
"Adair, Missouri, US",40.19058551,-92.60078167,2020-04-01,3.0
"Adair, Oklahoma, US",35.88494195,-94.65859267,2020-04-01,8.0
"Adams, Colorado, US",39.87432092,-104.3362578,2020-04-01,181.0
"Adams, Illinois, US",39.98815591,-91.18786813,2020-04-01,2.0
"Adams, Indiana, US",40.7457653,-84.93671406,2020-04-01,1.0
"Adams, Mississippi, US",31.47669768,-91.35326037,2020-04-01,11.0
"Adams, Nebraska, US",40.52449420000001,-98.50117804,2020-04-01,4.0
"Adams, Pennsylvania, US",39.87140411,-77.21610347,2020-04-01,12.0
"Adams, Washington, US",46.98299757,-118.5601734,2020-04-01,14.0
"Addison, Vermont, US",44.03217337,-73.14130877,2020-04-01,24.0
"Aiken, South Carolina, US",33.54338026,-81.63645384,2020-04-01,18.0
"Alachua, Florida, US",29.67866525,-82.35928158,2020-04-01,90.0
"Alamance, North Carolina, US",36.0434701,-79.39976137,2020-04-01,7.0
"Alameda, California, US",37.64629437,-121.8929271,2020-04-01,313.0
"Alamosa, Colorado, US",37.57250606,-105.7885451,2020-04-01,1.0
"Albany, New York, US",42.60060306,-73.97723916,2020-04-01,240.0
"Albany, Wyoming, US",41.65498705,-105.7235415,2020-04-01,3.0
"Albemarle, Virginia, US",38.02080697,-78.55481085,2020-04-01,21.0
"Alcorn, Mississippi, US",34.88084463,-88.57996173,2020-04-01,3.0
"Alexander, North Carolina, US",35.922379600000006,-81.17751948,2020-04-01,2.0
"Alexandria, Virginia, US",38.814003,-77.08183073,2020-04-01,32.0
"Allamakee, Iowa, US",43.28383218,-91.37860922,2020-04-01,7.0
"Allegan, Michigan, US",42.59147037,-85.89102866,2020-04-01,5.0
"Allegany, New York, US",42.25748406,-78.02750466,2020-04-01,10.0
"Alleghany, North Carolina, US",36.49360862,-81.12857041,2020-04-01,2.0
"Alleghany, Virginia, US",37.78636074,-80.00222498,2020-04-01,1.0
"Allegheny, Pennsylvania, US",40.46809875,-79.98167747,2020-04-01,356.0
"Allen, Indiana, US",41.09194313,-85.06800636,2020-04-01,39.0
"Allen, Kentucky, US",36.75197631,-86.19457544,2020-04-01,2.0
"Allen, Louisiana, US",30.65385745,-92.82442028,2020-04-01,19.0
"Allen, Ohio, US",40.77285242,-84.10802343,2020-04-01,6.0
"Allendale, South Carolina, US",32.98837386,-81.35321066,2020-04-01,1.0
"Alpine, California, US",38.59678594,-119.8223594,2020-04-01,1.0
"Amador, California, US",38.44583082,-120.65696,2020-04-01,2.0
"Amelia, Virginia, US",37.34081025,-77.98584649,2020-04-01,2.0
"Amherst, Virginia, US",37.60308293,-79.14548696,2020-04-01,5.0
"Amite, Mississippi, US",31.17467303,-90.80501621,2020-04-01,4.0
"Anchorage,Alaska,US",61.14998174,-149.14269860000005,2020-04-01,65.0
"Anderson, Kentucky, US",38.00671029,-84.99171713,2020-04-01,2.0
"Anderson, South Carolina, US",34.51828081,-82.63959517,2020-04-01,47.0
"Anderson, Tennessee, US",36.12684348,-84.19965764,2020-04-01,10.0
"Anderson, Texas, US",31.81534745,-95.65354823,2020-04-01,1.0
"Andrews, Texas, US",32.30468633,-102.6376548,2020-04-01,0.0
"Androscoggin, Maine, US",44.1664747,-70.20380627,2020-04-01,11.0
"Angelina, Texas, US",31.25457347,-94.60901487,2020-04-01,5.0
"Anne Arundel, Maryland, US",39.00670238,-76.60329337,2020-04-01,158.0
"Anoka, Minnesota, US",45.27476015,-93.24604565,2020-04-01,26.0
"Anson, North Carolina, US",34.97403241,-80.09953279,2020-04-01,1.0
"Antelope, Nebraska, US",42.17695516,-98.0666283,2020-04-01,1.0
"Antrim, Michigan, US",44.99690221,-85.15503082,2020-04-01,4.0
"Apache,Arizona,US",35.5313,-109.3783,2020-04-01,33.0
"Appanoose, Iowa, US",40.74324454,-92.86865906,2020-04-01,1.0
"Appling, Georgia, US",31.74847232,-82.28909114,2020-04-01,1.0
"Aransas, Texas, US",28.10556197,-96.9995047,2020-04-01,0.0
"Arapahoe, Colorado, US",39.64977461,-104.3353617,2020-04-01,333.0
"Archuleta, Colorado, US",37.19474156,-107.0476867,2020-04-01,1.0
"Arenac, Michigan, US",44.0636262,-83.89277559,2020-04-01,1.0
"Arkansas, Arkansas, US",34.29145151,-91.37277296,2020-04-01,1.0
"Arlington, Virginia, US",38.8767675,-77.10139853,2020-04-01,119.0
"Armstrong, Pennsylvania, US",40.81665618,-79.46290811,2020-04-01,5.0
"Ascension, Louisiana, US",30.20406249,-90.91328409999998,2020-04-01,189.0
"Ashland, Ohio, US",40.84772277,-82.27280781,2020-04-01,2.0
"Ashland, Wisconsin, US",46.31956891,-90.67837132,2020-04-01,1.0
"Ashley, Arkansas, US",33.19153461,-91.7698471,2020-04-01,1.0
"Ashtabula, Ohio, US",41.70860332,-80.74830218,2020-04-01,6.0
"Assumption, Louisiana, US",29.89946234,-91.06461642,2020-04-01,25.0
"Atascosa, Texas, US",28.89333001,-98.52730485,2020-04-01,2.0
"Atchison, Kansas, US",39.53185661,-95.30870026,2020-04-01,1.0
"Atchison, Missouri, US",40.43238737,-95.42970639,2020-04-01,1.0
"Athens, Ohio, US",39.33425634,-82.04278644,2020-04-01,3.0
"Atlantic, New Jersey, US",39.47538693,-74.65848483,2020-04-01,40.0
"Attala, Mississippi, US",33.08658803,-89.57838564,2020-04-01,11.0
"Audubon, Iowa, US",41.6844628,-94.90581859,2020-04-01,1.0
"Auglaize, Ohio, US",40.55998859,-84.22421429999999,2020-04-01,3.0
"Augusta, Virginia, US",38.16404586,-79.12461614,2020-04-01,1.0
"Aurora, South Dakota, US",43.71757685,-98.56050467,2020-04-01,1.0
"Austin, Texas, US",29.88548725,-96.27736949,2020-04-01,2.0
"Autauga, Alabama, US",32.53952745,-86.64408227,2020-04-01,8.0
"Avoyelles, Louisiana, US",31.07796211,-92.00079449,2020-04-01,31.0
"Baca, Colorado, US",37.31940883,-102.5603223,2020-04-01,3.0
"Bacon, Georgia, US",31.55456473,-82.45936528,2020-04-01,6.0
"Baker, Florida, US",30.33060121,-82.28467476,2020-04-01,9.0
"Baker, Georgia, US",31.32669878,-84.44218806,2020-04-01,4.0
"Baldwin, Alabama, US",30.72774991,-87.72207058,2020-04-01,20.0
"Baldwin, Georgia, US",33.06882326,-83.24701748,2020-04-01,6.0
"Baltimore, Maryland, US",39.45784712,-76.62911955,2020-04-01,289.0
"Baltimore City, Maryland, US",39.30211911,-76.61151012,2020-04-01,221.0
"Bamberg, South Carolina, US",33.21927586,-81.05659969,2020-04-01,4.0
"Banks, Georgia, US",34.35607081,-83.49644388,2020-04-01,3.0
"Bannock, Idaho, US",42.67002716,-112.2233311,2020-04-01,4.0
"Barbour, West Virginia, US",39.1307219,-80.00350858,2020-04-01,1.0
"Barnes, North Dakota, US",46.93579637,-98.06605978,2020-04-01,2.0
"Barnstable, Massachusetts, US",41.72980578,-70.28854339,2020-04-01,255.0
"Barnwell, South Carolina, US",33.26679302,-81.43584352,2020-04-01,2.0
"Barren, Kentucky, US",36.96469836,-85.93338945,2020-04-01,1.0
