id,lat,lon,Date,Value
"Autauga, Alabama",32.53952745,-86.64408227,2020-08-02,20.0
"Baldwin, Alabama",30.72774991,-87.72207058,2020-08-02,21.0
"Barbour, Alabama",31.868263,-85.3871286,2020-08-02,5.0
"Bibb, Alabama",32.99642064,-87.12511459999996,2020-08-02,2.0
"Blount, Alabama",33.98210918,-86.56790593,2020-08-02,3.0
"Bullock, Alabama",32.10030533,-85.71265535,2020-08-02,11.0
"Butler, Alabama",31.75300095,-86.68057478,2020-08-02,35.0
"Calhoun, Alabama",33.77483727,-85.82630386,2020-08-02,9.0
"Chambers, Alabama",32.91360079,-85.39072749,2020-08-02,38.0
"Cherokee, Alabama",34.17805983,-85.60638968,2020-08-02,7.0
"Chilton, Alabama",32.85044126,-86.7173256,2020-08-02,5.0
"Choctaw, Alabama",32.02227341,-88.26564429999998,2020-08-02,12.0
"Clarke, Alabama",31.68099859,-87.83548597,2020-08-02,9.0
"Clay, Alabama",33.26984193,-85.85836077,2020-08-02,5.0
"Cleburne, Alabama",33.67679204,-85.52005899,2020-08-02,1.0
"Coffee, Alabama",31.39932826,-85.98901039,2020-08-02,5.0
"Colbert, Alabama",34.69847452,-87.80168544,2020-08-02,11.0
"Conecuh, Alabama",31.43401703,-86.99320044,2020-08-02,10.0
"Coosa, Alabama",32.93690146,-86.24847739,2020-08-02,2.0
"Covington, Alabama",31.247785399999998,-86.45050893,2020-08-02,20.0
"Crenshaw, Alabama",31.72941803,-86.31593104,2020-08-02,3.0
"Cullman, Alabama",34.13020303,-86.86888037,2020-08-02,11.0
"Dale, Alabama",31.43037123,-85.61095742,2020-08-02,18.0
"Dallas, Alabama",32.32688101,-87.10866709999998,2020-08-02,23.0
"DeKalb, Alabama",34.45946862,-85.80782906,2020-08-02,11.0
"Elmore, Alabama",32.59785413,-86.14415284,2020-08-02,37.0
"Escambia, Alabama",31.1256789,-87.15918694,2020-08-02,15.0
"Etowah, Alabama",34.04567266,-86.04051873,2020-08-02,24.0
"Fayette, Alabama",33.72076938,-87.73886638,2020-08-02,5.0
"Franklin, Alabama",34.44235334,-87.84289505,2020-08-02,20.0
"Geneva, Alabama",31.09389027,-85.83572839,2020-08-02,0.0
"Greene, Alabama",32.85504247,-87.95684022,2020-08-02,11.0
"Hale, Alabama",32.76039258,-87.63284988,2020-08-02,25.0
"Henry, Alabama",31.51148016,-85.24267944,2020-08-02,3.0
"Houston, Alabama",31.15197924,-85.29939599,2020-08-02,12.0
