lat,lon,2020-01-22 00:00:00,Date,Value
33.0,65.0,0,country,"('Afghanistan', 'Total')"
41.1533,20.1683,0,country,"('Albania', 'Total')"
28.0339,1.6596,0,country,"('Algeria', 'Total')"
42.5063,1.5218,0,country,"('Andorra', 'Total')"
-11.2027,17.8739,0,country,"('Angola', 'Total')"
17.0608,-61.7964,0,country,"('Antigua and Barbuda', 'Total')"
-38.4161,-63.6167,0,country,"('Argentina', 'Total')"
40.0691,45.0382,0,country,"('Armenia', 'Total')"
-35.4735,149.0124,0,country,"('Australia', 'Australian Capital Territory')"
-33.8688,151.2093,0,country,"('Australia', 'New South Wales')"
-12.4634,130.8456,0,country,"('Australia', 'Northern Territory')"
-28.0167,153.4,0,country,"('Australia', 'Queensland')"
-34.9285,138.6007,0,country,"('Australia', 'South Australia')"
-41.4545,145.9707,0,country,"('Australia', 'Tasmania')"
-37.8136,144.9631,0,country,"('Australia', 'Victoria')"
-31.9505,115.8605,0,country,"('Australia', 'Western Australia')"
47.5162,14.5501,0,country,"('Austria', 'Total')"
40.1431,47.5769,0,country,"('Azerbaijan', 'Total')"
25.0343,-77.3963,0,country,"('Bahamas', 'Total')"
26.0275,50.55,0,country,"('Bahrain', 'Total')"
23.685,90.3563,0,country,"('Bangladesh', 'Total')"
13.1939,-59.5432,0,country,"('Barbados', 'Total')"
53.7098,27.9534,0,country,"('Belarus', 'Total')"
50.8333,4.0,0,country,"('Belgium', 'Total')"
9.3077,2.3158,0,country,"('Benin', 'Total')"
27.5142,90.4336,0,country,"('Bhutan', 'Total')"
-16.2902,-63.5887,0,country,"('Bolivia', 'Total')"
43.9159,17.6791,0,country,"('Bosnia and Herzegovina', 'Total')"
-14.235,-51.9253,0,country,"('Brazil', 'Total')"
4.5353,114.7277,0,country,"('Brunei', 'Total')"
42.7339,25.4858,0,country,"('Bulgaria', 'Total')"
12.2383,-1.5616,0,country,"('Burkina Faso', 'Total')"
16.5388,-23.0418,0,country,"('Cabo Verde', 'Total')"
11.55,104.9167,0,country,"('Cambodia', 'Total')"
3.848,11.5021,0,country,"('Cameroon', 'Total')"
53.9333,-116.5765,0,country,"('Canada', 'Alberta')"
49.2827,-123.1207,0,country,"('Canada', 'British Columbia')"
53.7609,-98.8139,0,country,"('Canada', 'Manitoba')"
46.5653,-66.4619,0,country,"('Canada', 'New Brunswick')"
53.1355,-57.6604,0,country,"('Canada', 'Newfoundland and Labrador')"
44.682,-63.7443,0,country,"('Canada', 'Nova Scotia')"
51.2538,-85.3232,0,country,"('Canada', 'Ontario')"
46.5107,-63.4168,0,country,"('Canada', 'Prince Edward Island')"
52.9399,-73.5491,0,country,"('Canada', 'Quebec')"
52.9399,-106.4509,0,country,"('Canada', 'Saskatchewan')"
6.6111,20.9394,0,country,"('Central African Republic', 'Total')"
15.4542,18.7322,0,country,"('Chad', 'Total')"
-35.6751,-71.543,0,country,"('Chile', 'Total')"
31.8257,117.2264,1,country,"('China', 'Anhui')"
40.1824,116.4142,14,country,"('China', 'Beijing')"
30.0572,107.874,6,country,"('China', 'Chongqing')"
26.0789,117.9874,1,country,"('China', 'Fujian')"
37.8099,101.0583,0,country,"('China', 'Gansu')"
23.3417,113.4244,26,country,"('China', 'Guangdong')"
23.8298,108.7881,2,country,"('China', 'Guangxi')"
26.8154,106.8748,1,country,"('China', 'Guizhou')"
19.1959,109.7453,4,country,"('China', 'Hainan')"
39.549,116.1306,1,country,"('China', 'Hebei')"
47.862,127.7615,0,country,"('China', 'Heilongjiang')"
33.882,113.614,5,country,"('China', 'Henan')"
22.3,114.2,0,country,"('China', 'Hong Kong')"
30.9756,112.2707,444,country,"('China', 'Hubei')"
27.6104,111.7088,4,country,"('China', 'Hunan')"
44.0935,113.9448,0,country,"('China', 'Inner Mongolia')"
32.9711,119.455,1,country,"('China', 'Jiangsu')"
27.614,115.7221,2,country,"('China', 'Jiangxi')"
43.6661,126.1923,0,country,"('China', 'Jilin')"
41.2956,122.6085,2,country,"('China', 'Liaoning')"
22.1667,113.55,1,country,"('China', 'Macau')"
37.2692,106.1655,1,country,"('China', 'Ningxia')"
35.7452,95.9956,0,country,"('China', 'Qinghai')"
35.1917,108.8701,0,country,"('China', 'Shaanxi')"
36.3427,118.1498,2,country,"('China', 'Shandong')"
31.202,121.4491,9,country,"('China', 'Shanghai')"
37.5777,112.2922,1,country,"('China', 'Shanxi')"
30.6171,102.7103,5,country,"('China', 'Sichuan')"
39.3054,117.323,4,country,"('China', 'Tianjin')"
31.6927,88.0924,0,country,"('China', 'Tibet')"
41.1129,85.2401,0,country,"('China', 'Xinjiang')"
24.974,101.487,1,country,"('China', 'Yunnan')"
29.1832,120.0934,10,country,"('China', 'Zhejiang')"
4.5709,-74.2973,0,country,"('Colombia', 'Total')"
-4.0383,21.7587,0,country,"('Congo (Brazzaville)', 'Total')"
-4.0383,21.7587,0,country,"('Congo (Kinshasa)', 'Total')"
9.7489,-83.7534,0,country,"('Costa Rica', 'Total')"
7.54,-5.5471,0,country,"(""Cote d'Ivoire"", 'Total')"
45.1,15.2,0,country,"('Croatia', 'Total')"
0.0,0.0,0,country,"('Diamond Princess', 'Total')"
22.0,-80.0,0,country,"('Cuba', 'Total')"
35.1264,33.4299,0,country,"('Cyprus', 'Total')"
49.8175,15.473,0,country,"('Czechia', 'Total')"
61.8926,-6.9118,0,country,"('Denmark', 'Faroe Islands')"
71.7069,-42.6043,0,country,"('Denmark', 'Greenland')"
56.2639,9.5018,0,country,"('Denmark', 'Total')"
11.8251,42.5903,0,country,"('Djibouti', 'Total')"
18.7357,-70.1627,0,country,"('Dominican Republic', 'Total')"
-1.8312,-78.1834,0,country,"('Ecuador', 'Total')"
26.0,30.0,0,country,"('Egypt', 'Total')"
13.7942,-88.8965,0,country,"('El Salvador', 'Total')"
1.5,10.0,0,country,"('Equatorial Guinea', 'Total')"
15.1794,39.7823,0,country,"('Eritrea', 'Total')"
58.5953,25.0136,0,country,"('Estonia', 'Total')"
-26.5225,31.4659,0,country,"('Eswatini', 'Total')"
9.145,40.4897,0,country,"('Ethiopia', 'Total')"
-17.7134,178.065,0,country,"('Fiji', 'Total')"
64.0,26.0,0,country,"('Finland', 'Total')"
3.9339,-53.1258,0,country,"('France', 'French Guiana')"
-17.6797,149.4068,0,country,"('France', 'French Polynesia')"
16.25,-61.5833,0,country,"('France', 'Guadeloupe')"
-12.8275,45.1662,0,country,"('France', 'Mayotte')"
-20.9043,165.618,0,country,"('France', 'New Caledonia')"
-21.1351,55.2471,0,country,"('France', 'Reunion')"
17.9,-62.8333,0,country,"('France', 'Saint Barthelemy')"
18.0708,-63.0501,0,country,"('France', 'St Martin')"
14.6415,-61.0242,0,country,"('France', 'Martinique')"
46.2276,2.2137,0,country,"('France', 'Total')"
-0.8037,11.6094,0,country,"('Gabon', 'Total')"
13.4432,-15.3101,0,country,"('Gambia', 'Total')"
42.3154,43.3569,0,country,"('Georgia', 'Total')"
51.0,9.0,0,country,"('Germany', 'Total')"
7.9465,-1.0232,0,country,"('Ghana', 'Total')"
39.0742,21.8243,0,country,"('Greece', 'Total')"
15.7835,-90.2308,0,country,"('Guatemala', 'Total')"
9.9456,-9.6966,0,country,"('Guinea', 'Total')"
5.0,-58.75,0,country,"('Guyana', 'Total')"
18.9712,-72.2852,0,country,"('Haiti', 'Total')"
41.9029,12.4534,0,country,"('Holy See', 'Total')"
15.2,-86.2419,0,country,"('Honduras', 'Total')"
47.1625,19.5033,0,country,"('Hungary', 'Total')"
64.9631,-19.0208,0,country,"('Iceland', 'Total')"
21.0,78.0,0,country,"('India', 'Total')"
-0.7893,113.9213,0,country,"('Indonesia', 'Total')"
32.0,53.0,0,country,"('Iran', 'Total')"
33.0,44.0,0,country,"('Iraq', 'Total')"
53.1424,-7.6921,0,country,"('Ireland', 'Total')"
31.0,35.0,0,country,"('Israel', 'Total')"
43.0,12.0,0,country,"('Italy', 'Total')"
18.1096,-77.2975,0,country,"('Jamaica', 'Total')"
36.0,138.0,2,country,"('Japan', 'Total')"
31.24,36.51,0,country,"('Jordan', 'Total')"
48.0196,66.9237,0,country,"('Kazakhstan', 'Total')"
-0.0236,37.9062,0,country,"('Kenya', 'Total')"
